,Times,Total_S,Total_A,Total_B,Total_P,SA_Flux,AB_Flux,BP_Flux,fs,fa,fb,fp
0,-0.1,100,0.0,0.0,0.0,9.090909090909092,0.0,0.0,1.0,0.0,0.0,0.0
1,0.0,100,0.9090909090909092,0.0,0.0,9.090909090909092,0.0,0.0,1.0,1.0,0.0,0.0
2,0.1,100,1.7681818181818185,0.05,0.0,9.090909090909092,0.5,0.0,1.0,1.0,1.0,0.0
3,0.2,100,2.5871220899610243,0.13924565993613774,0.0009049773755656108,9.090909090909092,0.9015063731170336,0.009049773755656108,1.0,1.0,1.0,1.0
4,0.30000000000000004,100,3.372890666680609,0.2600679009334664,0.0034050687495615056,9.090909090909092,1.2332233237132453,0.025000913739958948,1.0,1.0,1.0,1.0
5,0.4,100,4.130650464910751,0.4067797163650845,0.008024364178710854,9.090909090909092,1.5133111086076743,0.0461929542914935,1.0,1.0,1.0,1.0
6,0.5,100,4.864350277526604,0.5750385682193119,0.015156608799539038,9.090909090909092,1.7539109647505557,0.07132244620828182,1.0,1.0,1.0,1.0
7,0.6000000000000001,100,5.577091523697594,0.7614523926566168,0.0250924472821537,9.090909090909092,1.9634966291991962,0.09935838482614663,1.0,1.0,1.0,1.0
8,0.7000000000000001,100,6.271363452677366,0.9633231012918257,0.03804071875808192,9.090909090909092,2.148189801111372,0.12948271475928216,1.0,1.0,1.0,1.0
9,0.8,100,6.949200350231383,1.1784725055530387,0.0541453260337611,9.090909090909092,2.3125401153689227,0.1610460727567918,1.0,1.0,1.0,1.0
10,0.9,100,7.612290260810176,1.4051201326958689,0.07349869740304717,9.090909090909092,2.460009985121162,0.19353371369286068,1.0,1.0,1.0,1.0
11,1.0,100,8.262052366613693,1.6417950621365678,0.09615257124974097,9.090909090909092,2.5932880328739274,0.2265387384669381,1.0,1.0,1.0,1.0
12,1.1,100,8.899693423275588,1.8872708332888823,0.12212665252644046,9.090909090909092,2.714498524290141,0.25974081276699496,1.0,1.0,1.0,1.0
13,1.2000000000000002,100,9.526249799431206,2.140516452260886,0.15141556648972748,9.090909090909092,2.825345329352907,0.29288913963287033,1.0,1.0,1.0,1.0
14,1.3,100,10.142619375016219,2.4006589071505973,0.18399444510591156,9.090909090909092,2.927213335058953,0.3257887861618407,1.0,1.0,1.0,1.0
15,1.4000000000000001,100,10.74958614068227,2.666954082406292,0.21982341327507532,9.090909090909092,3.021241434248584,0.35828968169163755,1.0,1.0,1.0,1.0
16,1.5,100,11.347839443631061,2.9387639129910244,0.2588511888324617,9.090909090909092,3.1083760614211884,0.3902777555738639,1.0,1.0,1.0,1.0
17,1.6,100,11.937989240008573,3.2155382463352398,0.30101796820164345,9.090909090909092,3.1894111271339707,0.4216677936918174,1.0,1.0,1.0,1.0
18,1.7000000000000002,100,12.5205783231736,3.4968003044716154,0.3462577359911495,9.090909090909092,3.265018259258816,0.4523976778950603,1.0,1.0,1.0,1.0
19,1.8,100,13.096092230550749,3.7821349322679674,0.39450010990855816,9.090909090909092,3.3357700171376057,0.4824237391740864,1.0,1.0,1.0,1.0
20,1.9000000000000001,100,13.664967346428961,4.07117902464587,0.4456718107433535,9.090909090909092,3.4021579321269773,0.511717008347953,1.0,1.0,1.0,1.0
21,2.0,100,14.227597586978336,4.363613674148175,0.4996978297825843,9.090909090909092,3.464606685415352,0.5402601903923082,1.0,1.0,1.0,1.0
22,2.1,100,14.784339959589706,4.659157688375364,0.5565023520349328,9.090909090909092,3.5234853647953797,0.5680452225234845,1.0,1.0,1.0,1.0
23,2.2,100,15.335519220025976,4.957562206683726,0.6160094823812108,9.090909090909092,3.579116486546399,0.5950713034627793,1.0,1.0,1.0,1.0
24,2.3000000000000003,100,15.88143180022191,5.258606205253394,0.6781438127065192,9.090909090909092,3.6317832889497628,0.621343303253085,1.0,1.0,1.0,1.0
25,2.4000000000000004,100,16.422349141726368,5.562092724775981,0.7428308607703842,9.090909090909092,3.6817356758645183,0.6468704806386493,1.0,1.0,1.0,1.0
26,2.5,100,16.95852054119369,5.867845689480334,0.8099974056896189,9.090909090909092,3.729195096235877,0.6716654491923472,1.0,1.0,1.0,1.0
27,2.6,100,17.490175592513094,6.175707212775449,0.8795717401660106,9.090909090909092,3.7743585777150632,0.6957433447639171,1.0,1.0,1.0,1.0
28,2.7,100,18.017526293354262,6.485535305427621,0.9514838557635785,9.090909090909092,3.8174020824973955,0.7191211559756795,1.0,1.0,1.0,1.0
29,2.8000000000000003,100,18.540768870839365,6.797201918348332,1.0256655744486733,9.090909090909092,3.8584833160580643,0.7418171868509474,1.0,1.0,1.0,1.0
30,2.9000000000000004,100,19.060085370808814,7.110591264811819,1.102050637106648,9.090909090909092,3.897744091214616,0.7638506265797479,1.0,1.0,1.0,1.0
31,3.0,100,19.575645047057133,7.42559837703525,1.1805747577258068,9.090909090909092,3.9353123284258937,0.7852412061915862,1.0,1.0,1.0,1.0
32,3.1,100,20.08760558047757,7.742127860131288,1.261175650300239,9.090909090909092,3.9713037567047014,0.8060089257443217,1.0,1.0,1.0,1.0
33,3.2,100,20.596114152896703,8.06009281292959,1.343793034173716,9.090909090909092,4.005823366717784,0.8261738387347716,1.0,1.0,1.0,1.0
34,3.3000000000000003,100,21.101308396222034,8.379413890401475,1.4283686224674095,9.090909090909092,4.0389666576557905,0.8457558829369342,1.0,1.0,1.0,1.0
35,3.4000000000000004,100,21.603317234152517,8.700018486672407,1.514846097356903,9.090909090909092,4.070820711604262,0.864774748894935,1.0,1.0,1.0,1.0
36,3.5,100,22.102261630949965,9.02184002107249,1.603171075250281,9.090909090909092,4.101465122934619,0.8832497789337816,1.0,1.0,1.0,1.0
37,3.6,100,22.598255259512058,9.344817312513618,1.6932910643379695,9.090909090909092,4.130972805288158,0.9011998908768851,1.0,1.0,1.0,1.0
38,3.7,100,23.091405099126533,9.66889402981653,1.7851554165114918,9.090909090909092,4.15941069476434,0.9186435217352225,1.0,1.0,1.0,1.0
39,3.8000000000000003,100,23.581811971744127,9.99401820753912,1.8787152752622154,9.090909090909092,4.186840364733145,0.9355985875072347,1.0,1.0,1.0,1.0
